,0
0,36.979166666666664
1,43.75
2,45.833333333333336
3,42.1875
4,53.125
5,49.479166666666664
6,51.5625
7,51.041666666666664
8,52.604166666666664
9,61.979166666666664
10,59.895833333333336
11,54.6875
12,51.041666666666664
13,57.291666666666664
14,60.9375
15,66.14583333333333
16,65.10416666666667
17,66.14583333333333
18,59.375
19,60.9375
20,64.58333333333333
21,59.895833333333336
22,65.625
23,61.458333333333336
24,65.10416666666667
25,65.10416666666667
26,65.10416666666667
27,64.0625
28,67.70833333333333
29,73.4375
30,66.14583333333333
31,57.291666666666664
32,61.458333333333336
33,66.66666666666667
34,70.83333333333333
35,70.83333333333333
36,66.66666666666667
37,69.27083333333333
38,66.66666666666667
39,70.83333333333333
40,69.27083333333333
41,64.58333333333333
42,70.3125
43,65.625
44,67.1875
45,69.27083333333333
46,75.0
47,67.70833333333333
48,70.83333333333333
49,66.66666666666667
50,72.39583333333333
51,71.875
52,69.27083333333333
53,69.79166666666667
54,65.625
55,72.39583333333333
56,70.83333333333333
57,72.91666666666667
58,71.875
59,73.95833333333333
60,72.91666666666667
61,74.47916666666667
62,75.52083333333333
63,70.83333333333333
64,72.39583333333333
65,73.95833333333333
66,76.5625
67,72.39583333333333
68,74.47916666666667
69,70.83333333333333
70,78.125
71,72.39583333333333
72,75.0
73,79.16666666666667
74,71.35416666666667
75,75.52083333333333
76,71.875
77,72.39583333333333
78,71.875
79,73.95833333333333
80,77.60416666666667
81,70.83333333333333
82,77.60416666666667
83,75.0
84,72.39583333333333
85,79.6875
86,73.4375
87,79.6875
88,71.35416666666667
89,74.47916666666667
90,76.5625
91,79.6875
92,79.16666666666667
93,71.875
94,71.875
95,72.39583333333333
96,74.47916666666667
97,77.60416666666667
98,74.47916666666667
99,74.47916666666667
100,79.6875
101,78.64583333333333
102,79.6875
103,72.91666666666667
104,79.16666666666667
105,77.60416666666667
106,72.39583333333333
107,73.4375
108,81.77083333333333
109,82.8125
110,77.08333333333333
111,76.5625
112,80.72916666666667
113,82.8125
114,79.16666666666667
115,75.52083333333333
116,71.35416666666667
117,72.39583333333333
118,75.52083333333333
119,77.08333333333333
120,76.04166666666667
121,80.20833333333333
122,76.5625
123,69.79166666666667
124,76.5625
125,79.16666666666667
126,77.60416666666667
127,82.29166666666667
128,85.41666666666667
129,80.20833333333333
130,77.60416666666667
131,81.77083333333333
132,84.375
133,78.64583333333333
134,78.125
135,75.52083333333333
136,79.6875
137,80.72916666666667
138,76.04166666666667
139,81.25
140,80.72916666666667
141,81.25
142,81.25
143,81.25
144,78.64583333333333
145,80.20833333333333
146,75.52083333333333
147,80.20833333333333
148,85.9375
149,82.29166666666667
150,80.72916666666667
151,80.72916666666667
152,80.20833333333333
153,83.33333333333333
154,83.33333333333333
155,77.08333333333333
156,81.25
157,83.85416666666667
158,80.72916666666667
159,80.20833333333333
160,83.33333333333333
161,83.33333333333333
162,73.95833333333333
163,83.33333333333333
164,80.72916666666667
165,81.25
166,75.0
167,84.89583333333333
168,80.20833333333333
169,82.29166666666667
170,83.33333333333333
171,83.33333333333333
172,78.125
173,77.08333333333333
174,82.8125
175,76.04166666666667
176,81.25
177,80.72916666666667
178,82.29166666666667
179,83.85416666666667
180,77.08333333333333
181,80.72916666666667
182,81.77083333333333
183,75.0
184,83.33333333333333
185,78.64583333333333
186,84.89583333333333
187,83.85416666666667
188,81.25
189,77.08333333333333
190,77.08333333333333
191,83.85416666666667
192,84.375
193,83.33333333333333
194,82.8125
195,82.29166666666667
196,78.125
197,82.29166666666667
198,78.125
199,79.16666666666667
200,81.77083333333333
201,83.33333333333333
202,84.89583333333333
203,81.25
204,82.8125
205,78.125
206,83.85416666666667
207,81.77083333333333
208,82.29166666666667
209,82.8125
210,82.8125
211,81.25
212,79.16666666666667
213,82.8125
214,84.375
215,83.85416666666667
216,79.6875
217,81.77083333333333
218,87.5
219,85.9375
220,84.375
221,84.375
222,85.9375
223,82.29166666666667
224,86.97916666666667
225,85.9375
226,76.04166666666667
227,81.25
228,83.33333333333333
229,84.89583333333333
230,85.9375
231,79.16666666666667
232,78.125
233,84.89583333333333
234,82.8125
235,85.9375
236,80.72916666666667
237,84.89583333333333
238,91.14583333333333
239,89.58333333333333
240,82.8125
241,84.375
242,90.10416666666667
243,86.45833333333333
244,84.375
245,83.85416666666667
246,79.6875
247,84.375
248,85.9375
249,85.9375
